x,y,z,vx,vy,vz
144.099945,144.099945,144.099945,1.000129,1.000129,1.000129
145.099945,145.099945,145.099945,1.000128,1.000128,1.000128
146.099945,146.099945,146.099945,1.000126,1.000126,1.000126
147.099945,147.099945,147.099945,1.000125,1.000125,1.000125
148.099945,148.099945,148.099945,1.000125,1.000125,1.000125
149.099945,149.099945,149.099945,1.000124,1.000124,1.000124
150.099945,150.099945,150.099945,1.000123,1.000123,1.000123
151.099945,151.099945,151.099945,1.000122,1.000122,1.000122
152.099945,152.099945,152.099945,1.000122,1.000122,1.000122
153.099945,153.099945,153.099945,1.000120,1.000120,1.000120
154.099945,154.099945,154.099945,1.000119,1.000119,1.000119
155.099945,155.099945,155.099945,1.000119,1.000119,1.000119
156.099945,156.099945,156.099945,1.000118,1.000118,1.000118
157.099945,157.099945,157.099945,1.000117,1.000117,1.000117
158.099945,158.099945,158.099945,1.000117,1.000117,1.000117
159.099945,159.099945,159.099945,1.000116,1.000116,1.000116
160.099945,160.099945,160.099945,1.000114,1.000114,1.000114
161.099945,161.099945,161.099945,1.000114,1.000114,1.000114
162.099945,162.099945,162.099945,1.000113,1.000113,1.000113
163.099945,163.099945,163.099945,1.000113,1.000113,1.000113
164.099945,164.099945,164.099945,1.000112,1.000112,1.000112
165.099945,165.099945,165.099945,1.000111,1.000111,1.000111
166.099945,166.099945,166.099945,1.000111,1.000111,1.000111
167.099945,167.099945,167.099945,1.000110,1.000110,1.000110
168.099945,168.099945,168.099945,1.000110,1.000110,1.000110
169.099945,169.099945,169.099945,1.000108,1.000108,1.000108
170.099945,170.099945,170.099945,1.000108,1.000108,1.000108
171.099945,171.099945,171.099945,1.000107,1.000107,1.000107
172.099945,172.099945,172.099945,1.000106,1.000106,1.000106
173.099945,173.099945,173.099945,1.000106,1.000106,1.000106
174.099945,174.099945,174.099945,1.000105,1.000105,1.000105
175.099945,175.099945,175.099945,1.000105,1.000105,1.000105
176.099945,176.099945,176.099945,1.000104,1.000104,1.000104
